OxySoft export of:	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD013_ONOFF_06_29_23
Export date:	2023/07/26 10:08:57
Start of measurement:	2023-06-29 14:12:18.024

Datafile sample rate:	10.00	Hz
Datafile duration:	2643.600	s
Datafile total number of samples:	26436

Description:	

Optode-template:	PortaMon TSI
Optode distance (mm):	 32.50
Optode gradients (mm):	 5.00
DPF:	4.00

Device id:	1328
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	758	nm
1	2	853	nm
1	3	758	nm
1	4	853	nm
1	5	757	nm
1	6	852	nm

Export sample rate:	10.00	Hz
Selected time span:	0	2643.600
Selected time span (sample numbers):	0	26436


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
3	Rx1-Tx1 HHb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
4	Rx1-Tx2 O2Hb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
5	Rx1-Tx2 HHb (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
6	Rx1-Tx3 O2Hb (LIGHTSHIELD013_ONOFF_06_29_23)
7	Rx1-Tx3 HHb (LIGHTSHIELD013_ONOFF_06_29_23)
8	Rx1-Tx1,Tx2 TSI% (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
9	Rx1-Tx1,Tx2 TSI Fit Factor (Mov avg) (LIGHTSHIELD013_ONOFF_06_29_23)
10	(Event)


1	2	3	4	5	6	7	8	9	10
     0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     1	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     2	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     3	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     4	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     5	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     6	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     7	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     8	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
     9	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
    10	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
    11	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
    12	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
    13	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
    14	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	
